"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk Queue Length","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Read","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Transfer","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Write","\\WIN2012R2\MSSQL$SQL2014:Memory Manager\Memory Grants Pending","\\WIN2012R2\MSSQL$SQL2014:Memory Manager\Granted Workspace Memory (KB)","\\WIN2012R2\MSSQL$SQL2014:SQL Statistics\Batch Requests/sec","\\WIN2012R2\Process(sqlservr)\% Processor Time","\\WIN2012R2\Processor(_Total)\% Processor Time"
"04/08/2015 23:53:29.053"," "," "," "," ","0","0"," "," "," "
"04/08/2015 23:53:30.022","0.0039214808089437008","0","0.00054285714285714289","0.00054285714285714289","0","0","13.609689596481079","3.2249019810392276","2.0436074857766329"
"04/08/2015 23:53:31.007","0.1542676850026522","0.0038333333333333331","0.0024111111111111113","0.0023400000000000001","0","0","149.2840155815953","9.5211293410129318","9.9459799049837034"
"04/08/2015 23:53:32.010","0.019940258984083685","0","0.00058823529411764712","0.00058823529411764712","0","0","0","0","0.29870507958157377"
"04/08/2015 23:53:33.015","0.02277861730410986","0","0.0022899999999999999","0.0022899999999999999","0","0","0","0","0"
"04/08/2015 23:53:34.015","0.000900000990001089","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:53:35.015","0.00099999840000255993","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.00015999974399827366"
"04/08/2015 23:53:36.000","0.0025389245054860572","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.426559628317702"
"04/08/2015 23:53:37.016","0.0008859780681051341","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0.78891424864383497"
"04/08/2015 23:53:38.006","0.00080782507840447277","0","0.00040000000000000002","0.00040000000000000002","0","0","0","0","2.1774319119583718"
"04/08/2015 23:53:39.021","0.036726124917267761","0","0.0015541666666666666","0.0015541666666666666","0","0","0","0","5.3846899123673353"
"04/08/2015 23:53:40.007","0.00091304300189060767","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0.13592166821477791"
"04/08/2015 23:53:41.023","0.029341914038038149","0.0021666666666666666","0.00076410256410256415","0.00064722222222222221","0","0","94.524286833948395","1.5384812310212956","4.9987790612950667"
"04/08/2015 23:53:42.016","0.007852375343541421","0","0.00038999999999999999","0.00038999999999999999","0","0","0","0","0"
"04/08/2015 23:53:43.016","0.0039000109200305762","0","0.00048749999999999998","0.00048749999999999998","0","0","0","0","0"
"04/08/2015 23:53:44.016","0.00089999946000032403","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0.39068976558613855"
"04/08/2015 23:53:45.010","0.036713193514740096","0.0026636363636363637","0.0015208333333333332","0.00055384615384615379","0","0","0","0","8.0598535696791309"
"04/08/2015 23:53:46.011","0.077947759411642323","0","0.0016956521739130434","0.0016956521739130434","0","0","63.957557764667371","4.6843605415650433","2.4091553840616009"
"04/08/2015 23:53:47.012","0.021277817874865452","0","0.0070999999999999995","0.0070999999999999995","0","0","0","0","0"
"04/08/2015 23:53:48.028","0.0068923029419204335","0","0.00038888888888888892","0.00038888888888888892","0","0","0","0","6.8923029417078396e-005"
"04/08/2015 23:53:49.014","0.0030426926288134068","0","0.00060000000000000006","0.00060000000000000006","0","0","0","0","0"
"04/08/2015 23:53:50.010","0.0014053283022580113","0","0.00046666666666666666","0.00046666666666666666","0","0","0","0","1.1878537474835804"
"04/08/2015 23:53:51.023","0.043043163506663346","0.0039000000000000003","0.001117948717948718","0.00088611111111111106","0","0","94.772880740176205","3.0850891274844714","4.3622370479813766"
"04/08/2015 23:53:52.019","0.013845988064758287","0","0.00065714285714285712","0.00065714285714285712","0","0","0","0","0"
"04/08/2015 23:53:53.004","0.0050792500141965038","0","0.00041666666666666669","0.00041666666666666669","0","0","0","0","0.0022653455063359473"
"04/08/2015 23:53:54.019","0.0017723455605156068","0","0.00059999999999999995","0.00059999999999999995","0","0","0","0","0"
"04/08/2015 23:53:55.019","0.0010999931800422837","0","0.00055000000000000003","0.00055000000000000003","0","0","0","0","0.39123757432704132"
"04/08/2015 23:53:56.005","0.043510054473776823","0","0.0015888888888888888","0.0015888888888888888","0","0","0","0","0.16268094959426271"
"04/08/2015 23:53:57.021","0.0022646142697283593","0","0.00046000000000000001","0.00046000000000000001","0","0","0","0","4.9230744991746178e-005"
"04/08/2015 23:53:58.021","0.0025000000000000001","0","0.00125","0.00125","0","0","0","0","0"
"04/08/2015 23:53:59.020","0.00090120734748342355","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:54:00.004","0.00091428692172495064","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0.39669893659287636"
"04/08/2015 23:54:01.005","0.073601896032777905","0.0025000000000000001","0.00099594594594594596","0.00093239436619718306","0","0","159.78459438830512","10.922940812191429","6.3747930383591722"
"04/08/2015 23:54:02.005","0.0214000214000214","0","0.00069032258064516123","0.00069032258064516123","0","0","0","0","0"
"04/08/2015 23:54:03.021","0.0084676881389843008","0","0.00050588235294117643","0.00050588235294117643","0","0","0","0","4.9230744991746178e-005"
"04/08/2015 23:54:04.005","0.0018285710570522297","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","2.0317456184137939e-005"
"04/08/2015 23:54:05.015","0.00089175377449647619","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
